order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,cost_price,quantity,discount_percent,sale_price,profit
50,2023-06-18,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,OFF-BI-10004410,30,6,4,39.6,0.3999999999999986
51,2022-01-11,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,70,6,4,79.2,0.7999999999999972
52,2023-09-09,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,10,2,4,9.9,0.09999999999999964
53,2022-01-31,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,70,1,5,89.1,0.9000000000000057
54,2023-07-30,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,OFF-FA-10000304,20,7,3,19.8,0.1999999999999993
55,2023-10-17,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,TEC-PH-10002447,850,5,4,1019.7,10.299999999999955
56,2023-07-06,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,OFF-ST-10000604,200,6,5,207.9,2.0999999999999943
57,2023-09-15,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10001569,30,5,5,29.7,0.3000000000000007
58,2022-08-09,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,FUR-CH-10003968,290,5,2,316.8,3.1999999999999886
59,2022-04-05,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10000587,10,2,4,9.9,0.09999999999999964
60,2023-06-24,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,TEC-AC-10002167,20,2,5,29.7,0.3000000000000007
61,2022-03-10,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,OFF-BI-10001460,40,4,2,49.5,0.5
62,2023-04-08,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,OFF-AR-10001868,0,1,5,0.0,0.0
63,2023-10-16,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,TEC-AC-10004633,10,2,3,9.9,0.09999999999999964
64,2023-08-02,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001078,20,6,2,29.7,0.3000000000000007
65,2022-11-05,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10003892,130,3,5,148.5,1.5
66,2022-05-06,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10000397,70,4,2,79.2,0.7999999999999972
67,2022-03-26,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,180,5,5,207.9,2.0999999999999943
68,2022-04-10,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,OFF-AR-10002671,940,8,3,1098.9,11.099999999999909
69,2022-08-12,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,160,4,3,168.3,1.6999999999999886
70,2022-02-25,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,OFF-PA-10000482,70,2,2,79.2,0.7999999999999972
71,2022-11-29,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,OFF-BI-10004654,0,1,3,0.0,0.0
72,2022-12-18,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,OFF-PA-10004675,20,3,3,19.8,0.1999999999999993
73,2023-03-07,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,790,8,2,821.7,8.299999999999955
74,2023-07-12,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,90,2,3,99.0,1.0
75,2022-10-21,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,OFF-ST-10004123,60,1,2,69.3,0.7000000000000028
76,2023-04-17,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,OFF-BI-10004182,0,3,4,0.0,0.0
77,2023-05-20,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,10,3,4,9.9,0.09999999999999964
78,2023-05-13,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,OFF-ST-10000615,20,3,2,29.7,0.3000000000000007
79,2022-10-20,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,20,5,2,19.8,0.1999999999999993
80,2023-10-22,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,190,1,3,207.9,2.0999999999999943
81,2022-07-20,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,20,3,2,19.8,0.1999999999999993
82,2022-11-16,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,10,5,5,9.9,0.09999999999999964
83,2022-11-10,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,20,1,4,19.8,0.1999999999999993
84,2022-03-15,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,OFF-EN-10000927,180,7,3,198.0,2.0
85,2023-10-03,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,OFF-ST-10003656,210,3,2,227.7,2.3000000000000114
86,2022-03-20,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,FUR-CH-10000863,260,2,5,297.0,3.0
87,2023-12-04,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,20,1,5,19.8,0.1999999999999993
88,2023-11-24,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,OFF-LA-10000134,10,2,5,9.9,0.09999999999999964
89,2023-12-30,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,OFF-ST-10003442,140,7,5,158.4,1.5999999999999943
90,2022-05-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,OFF-AR-10004930,20,3,2,19.8,0.1999999999999993
91,2023-04-06,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,TEC-PH-10004093,60,2,2,69.3,0.7000000000000028
92,2022-03-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,OFF-PA-10000304,10,1,2,9.9,0.09999999999999964
93,2023-04-07,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,OFF-PA-10003177,10,2,2,9.9,0.09999999999999964
94,2022-05-13,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,50,3,5,49.5,0.5
95,2022-04-23,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,OFF-BI-10002852,20,2,3,29.7,0.3000000000000007
96,2023-12-17,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,OFF-BI-10004738,10,1,2,9.9,0.09999999999999964
97,2022-04-28,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,FUR-FU-10000629,80,7,5,99.0,1.0
98,2023-06-14,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,OFF-BI-10001721,40,3,4,49.5,0.5
99,2023-02-05,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,OFF-AP-10000358,70,6,3,79.2,0.7999999999999972
100,2023-12-30,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,OFF-PA-10003256,60,7,3,59.4,0.6000000000000014
101,2022-02-24,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,80,3,5,99.0,1.0
102,2022-07-25,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,OFF-BI-10002609,0,3,3,0.0,0.0
103,2022-01-14,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,OFF-PA-10004040,20,4,4,19.8,0.1999999999999993
104,2022-12-22,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,220,6,3,237.6,2.4000000000000057
105,2022-06-09,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,90,3,5,99.0,1.0
106,2023-10-28,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,OFF-BI-10002794,30,3,5,39.6,0.3999999999999986
107,2022-10-18,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,TEC-AC-10003499,60,8,5,69.3,0.7000000000000028
108,2022-11-23,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002844,30,1,3,29.7,0.3000000000000007
109,2023-10-12,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,OFF-AR-10000390,0,1,3,0.0,0.0
110,2023-03-17,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,290,5,2,336.6,3.3999999999999773
111,2023-09-05,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,FUR-FU-10001934,30,2,2,39.6,0.3999999999999986
112,2022-01-28,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,OFF-AR-10000380,70,2,3,79.2,0.7999999999999972
113,2022-12-26,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,OFF-BI-10003981,30,6,3,29.7,0.3000000000000007
114,2023-06-06,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10000621,40,14,2,39.6,0.3999999999999986
115,2023-11-08,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002600,0,2,4,0.0,0.0
116,2022-11-15,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10004965,20,3,4,19.8,0.1999999999999993
117,2022-06-30,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002504,120,6,5,128.7,1.3000000000000114
118,2023-10-27,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,720,3,4,782.1,7.899999999999977
119,2023-07-19,,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,OFF-BI-10003650,140,1,5,158.4,1.5999999999999943
120,2023-03-30,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,FUR-FU-10002157,50,3,3,49.5,0.5
121,2022-03-03,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,OFF-BI-10003910,20,4,2,29.7,0.3000000000000007
122,2022-10-20,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,OFF-ST-10000777,190,6,2,227.7,2.3000000000000114
123,2023-01-23,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,OFF-EN-10002500,110,9,4,118.8,1.2000000000000028
124,2023-01-21,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,TEC-PH-10003875,60,7,2,69.3,0.7000000000000028
125,2023-07-18,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004063,550,3,3,594.0,6.0
126,2023-07-15,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,FUR-TA-10004534,540,6,4,613.8,6.2000000000000455
127,2022-07-14,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,OFF-BI-10003274,0,2,4,0.0,0.0
128,2023-03-30,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,OFF-ST-10002974,200,7,4,237.6,2.4000000000000057
129,2023-09-18,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10001146,70,2,2,79.2,0.7999999999999972
130,2022-01-03,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,220,3,4,237.6,2.4000000000000057
131,2022-07-17,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,TEC-PH-10002293,50,5,3,59.4,0.6000000000000014
132,2022-03-30,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10002377,80,2,4,79.2,0.7999999999999972
133,2022-05-01,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10002780,20,9,5,19.8,0.1999999999999993
134,2023-04-29,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001804,20,3,4,19.8,0.1999999999999993
135,2022-10-28,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001736,30,1,5,39.6,0.3999999999999986
136,2022-03-05,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,OFF-AR-10001149,10,4,5,9.9,0.09999999999999964
137,2022-03-28,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,OFF-FA-10002988,0,2,5,0.0,0.0
138,2023-10-16,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,OFF-BI-10004781,70,3,2,79.2,0.7999999999999972
139,2022-05-15,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,OFF-SU-10001218,60,6,5,69.3,0.7000000000000028
140,2023-06-06,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,FUR-FU-10001706,40,14,2,39.6,0.3999999999999986
141,2022-06-10,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,60,2,2,79.2,0.7999999999999972
142,2022-07-22,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10000940,10,3,3,9.9,0.09999999999999964
143,2023-12-27,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,OFF-EN-10004030,10,3,2,9.9,0.09999999999999964
144,2023-11-29,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,OFF-PA-10004327,130,3,5,138.6,1.4000000000000057
145,2022-03-19,Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,OFF-AP-10001058,780,3,2,831.6,8.399999999999977
146,2023-06-04,Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,OFF-ST-10003656,600,7,3,663.3,6.7000000000000455
147,2023-05-31,Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,FUR-FU-10000521,80,4,4,89.1,0.9000000000000057
148,2022-06-12,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10000215,350,11,4,376.2,3.8000000000000114
149,2022-05-18,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10001448,140,3,5,148.5,1.5
150,2022-01-23,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,FUR-CH-10000454,1580,8,3,1930.5,19.5
151,2023-08-21,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,OFF-BI-10002735,150,5,4,168.3,1.6999999999999886
152,2023-08-31,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,OFF-AP-10000326,140,5,5,158.4,1.5999999999999943
153,2022-10-25,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,TEC-PH-10001254,160,2,2,198.0,2.0
154,2022-10-07,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10001950,50,7,4,59.4,0.6000000000000014
155,2023-03-25,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10002254,100,4,4,108.9,1.0999999999999943
156,2023-03-27,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,OFF-ST-10001590,60,6,4,79.2,0.7999999999999972
157,2022-05-03,Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,OFF-AR-10001547,10,3,3,9.9,0.09999999999999964
158,2022-05-18,Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,FUR-CH-10004063,380,2,2,455.4,4.600000000000023
159,2022-04-25,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,OFF-LA-10002475,10,2,3,9.9,0.09999999999999964
160,2022-06-30,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,TEC-PH-10004536,870,7,5,930.6,9.399999999999977
161,2022-01-10,First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,OFF-PA-10002751,10,1,4,9.9,0.09999999999999964
162,2023-11-27,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,TEC-AC-10003657,40,2,5,49.5,0.5
163,2022-02-16,Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,OFF-EN-10001990,30,5,4,29.7,0.3000000000000007
164,2022-08-14,Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,OFF-BI-10004002,20,2,3,29.7,0.3000000000000007
165,2023-10-14,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10004441,10,3,5,9.9,0.09999999999999964
166,2022-10-16,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,TEC-MA-10000822,6850,8,4,8078.4,81.60000000000036
167,2022-11-20,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,OFF-ST-10000991,250,3,4,277.2,2.8000000000000114
168,2023-11-04,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,FUR-CH-10004287,1620,9,4,1722.6,17.40000000000009
169,2023-06-16,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10002656,30,6,4,29.7,0.3000000000000007
170,2022-10-20,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,OFF-AP-10002518,150,5,2,178.2,1.8000000000000114
171,2022-07-12,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,TEC-PH-10003931,120,3,5,138.6,1.4000000000000057
172,2022-01-28,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10000659,20,3,2,19.8,0.1999999999999993
173,2023-10-10,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10001144,100,2,4,108.9,1.0999999999999943
174,2022-10-05,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10003817,290,7,2,336.6,3.3999999999999773
175,2023-01-02,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,OFF-AP-10000891,50,2,4,49.5,0.5
176,2023-04-07,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,OFF-LA-10003148,20,4,5,19.8,0.1999999999999993
177,2022-04-21,Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,OFF-AP-10002684,90,4,2,99.0,1.0
178,2023-10-28,Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,FUR-CH-10004698,370,7,5,396.0,4.0
179,2022-04-18,Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,OFF-SU-10002189,20,5,3,19.8,0.1999999999999993
